source,layer,lat,lon,name,addendum_json_vh,addendum_json_georg
swe-virtual-herbarium,socken,57.52758000000001,18.44515,Roma,"{""District"":""Roma"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.52758,""Longitude"":18.44515,""Continent"":""Europe"",""ID"":16716,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":5233,""RT90centrE"":1658136,""RT90centrN"":6381109,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":5233,""locationDisplayLabel"":""Roma""}"
swe-virtual-herbarium,socken,57.18147,18.48141,Rone,"{""District"":""Rone"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.18147,""Longitude"":18.48141,""Continent"":""Europe"",""ID"":16717,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":17559,""RT90centrE"":1661823,""RT90centrN"":6342665,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":17559,""locationDisplayLabel"":""Rone""}"
swe-virtual-herbarium,socken,57.79824,18.987070000000003,Rute,"{""District"":""Rute"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.79824,""Longitude"":18.98707,""Continent"":""Europe"",""ID"":16718,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":8544,""RT90centrE"":1689170,""RT90centrN"":6412623,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":8544,""locationDisplayLabel"":""Rute""}"
swe-virtual-herbarium,socken,57.42402,18.20869,Sanda,"{""District"":""Sanda"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.42402,""Longitude"":18.20869,""Continent"":""Europe"",""ID"":16719,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":6345,""RT90centrE"":1644383,""RT90centrN"":6369052,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":6345,""locationDisplayLabel"":""Sanda""}"
swe-virtual-herbarium,socken,57.22067,18.2184,Silte,"{""District"":""Silte"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.22067,""Longitude"":18.2184,""Continent"":""Europe"",""ID"":16720,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":5754,""RT90centrE"":1645768,""RT90centrN"":6346435,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":5754,""locationDisplayLabel"":""Silte""}"
swe-virtual-herbarium,socken,57.48242,18.534860000000002,Sjonhem,"{""District"":""Sjonhem"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.48242,""Longitude"":18.53486,""Continent"":""Europe"",""ID"":16721,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":4865,""RT90centrE"":1663709,""RT90centrN"":6376293,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":4865,""locationDisplayLabel"":""Sjonhem""}"
swe-virtual-herbarium,socken,57.24935,18.18681,Sproge,"{""District"":""Sproge"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.24935,""Longitude"":18.18681,""Continent"":""Europe"",""ID"":16722,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":4298,""RT90centrE"":1643750,""RT90centrN"":6349562,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":4298,""locationDisplayLabel"":""Sproge""}"
swe-virtual-herbarium,socken,57.54379,18.23979,Stenkumla,"{""District"":""Stenkumla"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.54379,""Longitude"":18.23979,""Continent"":""Europe"",""ID"":16723,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":4610,""RT90centrE"":1645772,""RT90centrN"":6382453,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":4610,""locationDisplayLabel"":""Stenkumla""}"
swe-virtual-herbarium,socken,57.80059,18.531660000000002,Stenkyrka,"{""District"":""Stenkyrka"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.80059,""Longitude"":18.53166,""Continent"":""Europe"",""ID"":16724,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":6784,""RT90centrE"":1662094,""RT90centrN"":6411703,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":6784,""locationDisplayLabel"":""Stenkyrka""}"
swe-virtual-herbarium,socken,57.2929,18.46333,Stånga,"{""District"":""Stånga"",""Province"":""Gotland"",""Country"":""Sweden"",""Län"":""Gotlands län"",""Kommun"":""Gotland"",""Latitude"":57.2929,""Longitude"":18.46333,""Continent"":""Europe"",""ID"":16725,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":12803,""RT90centrE"":1660245,""RT90centrN"":6355027,""Code"":""SE-0980""}","{""coordinateUncertaintyInMeters"":12803,""locationDisplayLabel"":""Stånga""}"
