source,layer,name,lat,lon,addendum_json_gbif,addendum_json_georg
GBIF,uppsala-botany,Skogskärsgarpen,60.2752800,18.7277800,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530788"",""catalogNumber"":""A-530788"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Uppland"",""county"":""Öregrund"",""locality"":""Skogskärsgarpen, udden mellan bryggan och dykarstället"",""decimalLatitude"":""60.2752800"",""decimalLongitude"":""18.7277800""}","{""locationDisplayLabel"":""Skogskärsgarpen"",""interpretedTokens"":[""Skogskärsgarpen""]}"
GBIF,uppsala-botany,"Öregrund, Vågbrytarna",60.3436100,18.4491700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530804"",""catalogNumber"":""A-530804"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Uppland"",""county"":""Öregrund"",""locality"":""Öregrund, lös vid storm. Vågbrytarna"",""decimalLatitude"":""60.3436100"",""decimalLongitude"":""18.4491700""}","{""locationDisplayLabel"":""Öregrund, Vågbrytarna"",""interpretedTokens"":[""Öregrund"",""Vågbrytarna""]}"
GBIF,uppsala-botany,Öregrund,60.3436100,18.4491700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530805"",""catalogNumber"":""A-530805"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Uppland"",""county"":""Öregrund"",""locality"":""Öregrund"",""decimalLatitude"":""60.3436100"",""decimalLongitude"":""18.4491700""}","{""locationDisplayLabel"":""Öregrund"",""interpretedTokens"":[""Öregrund""]}"
GBIF,uppsala-botany,Grepen,60.4572200,18.2294400,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530806"",""catalogNumber"":""A-530806"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Uppland"",""county"":""Hållnäs"",""locality"":""Grepen"",""decimalLatitude"":""60.4572200"",""decimalLongitude"":""18.2294400""}","{""locationDisplayLabel"":""Grepen"",""interpretedTokens"":[""Grepen""]}"
GBIF,uppsala-botany,N.V.A,60.3166700,18.6333300,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530811"",""catalogNumber"":""A-530811"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Uppland"",""county"":""Gräsö"",""locality"":""Trutbådan N.V.A vid 7"",""decimalLatitude"":""60.3166700"",""decimalLongitude"":""18.6333300""}","{""locationDisplayLabel"":""N.V.A"",""interpretedTokens"":[""N.V.A""]}"
GBIF,uppsala-botany,Trutbådan,60.3166700,18.6333300,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530812"",""catalogNumber"":""A-530812"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Uppland"",""county"":""Gräsö"",""locality"":""Trutbådan, udden"",""decimalLatitude"":""60.3166700"",""decimalLongitude"":""18.6333300""}","{""locationDisplayLabel"":""Trutbådan"",""interpretedTokens"":[""Trutbådan""]}"
GBIF,uppsala-botany,Gåsö,58.2500000,11.4241700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530847"",""catalogNumber"":""A-530847"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Gåsö NO"",""decimalLatitude"":""58.2500000"",""decimalLongitude"":""11.4241700""}","{""locationDisplayLabel"":""Gåsö"",""interpretedTokens"":[""Gåsö""]}"
GBIF,uppsala-botany,Storöns NO sida,58.5847200,11.0805600,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530857"",""catalogNumber"":""A-530857"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Kville"",""locality"":""Väderöarna mot lilla skäret på Storöns NO sida"",""decimalLatitude"":""58.5847200"",""decimalLongitude"":""11.0805600""}","{""locationDisplayLabel"":""Storöns NO sida"",""interpretedTokens"":[""Storöns NO sida""]}"
GBIF,uppsala-botany,Kalvöskärs fyr,58.5922200,11.2591700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530863"",""catalogNumber"":""A-530863"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""V om Kalvöskärs fyr, vid 1.8 grundet"",""decimalLatitude"":""58.5922200"",""decimalLongitude"":""11.2591700""}","{""locationDisplayLabel"":""Kalvöskärs fyr"",""interpretedTokens"":[""Kalvöskärs fyr""]}"
GBIF,uppsala-botany,"Råttholen, Marholmen",58.2541700,11.4638900,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530924"",""catalogNumber"":""A-530924"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Mellan Råttholen och Marholmen"",""decimalLatitude"":""58.2541700"",""decimalLongitude"":""11.4638900""}","{""locationDisplayLabel"":""Råttholen, Marholmen"",""interpretedTokens"":[""Råttholen"",""Marholmen""]}"
GBIF,uppsala-botany,"Kristinebergsområdet, Smedjan",58.2694400,11.3700000,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530926"",""catalogNumber"":""A-530926"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Kristinebergsområdet, Smedjan"",""decimalLatitude"":""58.2694400"",""decimalLongitude"":""11.3700000""}","{""locationDisplayLabel"":""Kristinebergsområdet, Smedjan"",""interpretedTokens"":[""Kristinebergsområdet"",""Smedjan""]}"
GBIF,uppsala-botany,Väderöarna,58.5500000,11.0833300,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530937"",""catalogNumber"":""A-530937"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""S Väderöarna"",""decimalLatitude"":""58.5500000"",""decimalLongitude"":""11.0833300""}","{""locationDisplayLabel"":""Väderöarna"",""interpretedTokens"":[""Väderöarna""]}"
GBIF,uppsala-botany,Bonden,58.2166700,11.3000000,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530938"",""catalogNumber"":""A-530938"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Bonden"",""decimalLatitude"":""58.2166700"",""decimalLongitude"":""11.3000000""}","{""locationDisplayLabel"":""Bonden"",""interpretedTokens"":[""Bonden""]}"
GBIF,uppsala-botany,Gåsö,58.2500000,11.4241700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530945"",""catalogNumber"":""A-530945"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Gåsö NO-ända"",""decimalLatitude"":""58.2500000"",""decimalLongitude"":""11.4241700""}","{""locationDisplayLabel"":""Gåsö"",""interpretedTokens"":[""Gåsö""]}"
GBIF,uppsala-botany,Getryggen,58.5722200,11.2263900,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530952"",""catalogNumber"":""A-530952"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Kville"",""locality"":""Getryggen"",""decimalLatitude"":""58.5722200"",""decimalLongitude"":""11.2263900""}","{""locationDisplayLabel"":""Getryggen"",""interpretedTokens"":[""Getryggen""]}"
GBIF,uppsala-botany,Kristinebergs skärgård,58.2500000,11.4241700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530960"",""catalogNumber"":""A-530960"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Kristinebergs skärgård, Gåsö nordostända"",""decimalLatitude"":""58.2500000"",""decimalLongitude"":""11.4241700""}","{""locationDisplayLabel"":""Kristinebergs skärgård"",""interpretedTokens"":[""Kristinebergs skärgård""]}"
GBIF,uppsala-botany,Kalvöskärs,58.5930600,11.2513900,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530965"",""catalogNumber"":""A-530965"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Tanum"",""locality"":""V om Kalvöskärs fyr"",""decimalLatitude"":""58.5930600"",""decimalLongitude"":""11.2513900""}","{""locationDisplayLabel"":""Kalvöskärs"",""interpretedTokens"":[""Kalvöskärs""]}"
GBIF,uppsala-botany,"Väderöarna, Storöns NO sida",58.5847200,11.0805600,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530968"",""catalogNumber"":""A-530968"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Kville"",""locality"":""Väderöarna, trål mot lilla skäret på Storöns NO sida"",""decimalLatitude"":""58.5847200"",""decimalLongitude"":""11.0805600""}","{""locationDisplayLabel"":""Väderöarna, Storöns NO sida"",""interpretedTokens"":[""Väderöarna"",""Storöns NO sida""]}"
GBIF,uppsala-botany,Mosseberget,58.2569400,11.3944400,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-530971"",""catalogNumber"":""A-530971"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Mosseberget"",""decimalLatitude"":""58.2569400"",""decimalLongitude"":""11.3944400""}","{""locationDisplayLabel"":""Mosseberget"",""interpretedTokens"":[""Mosseberget""]}"
GBIF,uppsala-botany,Örnhökaknösen,55.4333300,14.2666700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531001"",""catalogNumber"":""A-531001"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Skåne"",""county"":""Östra Hoby"",""locality"":""Örnhökaknösen"",""decimalLatitude"":""55.4333300"",""decimalLongitude"":""14.2666700""}","{""locationDisplayLabel"":""Örnhökaknösen"",""interpretedTokens"":[""Örnhökaknösen""]}"
GBIF,uppsala-botany,Bonden,59.2194400,11.3166700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531031"",""catalogNumber"":""A-531031"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Rum sjö innanför Bonden"",""decimalLatitude"":""59.2194400"",""decimalLongitude"":""11.3166700""}","{""locationDisplayLabel"":""Bonden"",""interpretedTokens"":[""Bonden""]}"
GBIF,uppsala-botany,Mosseberget,58.2569400,11.3944400,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531033"",""catalogNumber"":""A-531033"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Från Mosseberget"",""decimalLatitude"":""58.2569400"",""decimalLongitude"":""11.3944400""}","{""locationDisplayLabel"":""Mosseberget"",""interpretedTokens"":[""Mosseberget""]}"
GBIF,uppsala-botany,Stora Bornö,58.3833300,11.5833300,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531045"",""catalogNumber"":""A-531045"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Brastad"",""locality"":""Stora Bornö"",""decimalLatitude"":""58.3833300"",""decimalLongitude"":""11.5833300""}","{""locationDisplayLabel"":""Stora Bornö"",""interpretedTokens"":[""Stora Bornö""]}"
GBIF,uppsala-botany,Strömmarna,58.2388900,11.5500000,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531078"",""catalogNumber"":""A-531078"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Dragsmark"",""locality"":""Strömmarna, simning vid luftkabeln"",""decimalLatitude"":""58.2388900"",""decimalLongitude"":""11.5500000""}","{""locationDisplayLabel"":""Strömmarna"",""interpretedTokens"":[""Strömmarna""]}"
GBIF,uppsala-botany,"Kristineberg, Sven Lovéns brygga",58.2505600,11.4569400,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531091"",""catalogNumber"":""A-531091"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Kristineberg, Sven Lovéns brygga"",""decimalLatitude"":""58.2505600"",""decimalLongitude"":""11.4569400""}","{""locationDisplayLabel"":""Kristineberg, Sven Lovéns brygga"",""interpretedTokens"":[""Kristineberg"",""Sven Lovéns brygga""]}"
GBIF,uppsala-botany,"Kristineberg, Blåbergsholmen, Oesophagus",58.2538900,11.4458300,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531100"",""catalogNumber"":""A-531100"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Kristineberg, Blåbergsholmen på insidan nära Oesophagus"",""decimalLatitude"":""58.2538900"",""decimalLongitude"":""11.4458300""}","{""locationDisplayLabel"":""Kristineberg, Blåbergsholmen, Oesophagus"",""interpretedTokens"":[""Kristineberg"",""Blåbergsholmen"",""Oesophagus""]}"
GBIF,uppsala-botany,"Kristineberg, Sven Lovéns hamn",58.2505600,11.4569400,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531103"",""catalogNumber"":""A-531103"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Kristineberg, Sven Lovéns hamn"",""decimalLatitude"":""58.2505600"",""decimalLongitude"":""11.4569400""}","{""locationDisplayLabel"":""Kristineberg, Sven Lovéns hamn"",""interpretedTokens"":[""Kristineberg"",""Sven Lovéns hamn""]}"
GBIF,uppsala-botany,Storöns NOsida,58.5847200,11.0805600,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531111"",""catalogNumber"":""A-531111"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Kville"",""locality"":""Väderöarna trål mot lilla skäret på Storöns NOsida"",""decimalLatitude"":""58.5847200"",""decimalLongitude"":""11.0805600""}","{""locationDisplayLabel"":""Storöns NOsida"",""interpretedTokens"":[""Storöns NOsida""]}"
GBIF,uppsala-botany,"Grundet, Blåbergsholmen",58.2538900,11.4458300,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531112"",""catalogNumber"":""A-531112"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Grundet utanför Blåbergsholmen"",""decimalLatitude"":""58.2538900"",""decimalLongitude"":""11.4458300""}","{""locationDisplayLabel"":""Grundet, Blåbergsholmen"",""interpretedTokens"":[""Grundet"",""Blåbergsholmen""]}"
GBIF,uppsala-botany,Kristineberg,58.2505600,11.4569400,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531114"",""catalogNumber"":""A-531114"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Kristineberg, På botten i Sven Lovéns hamn"",""decimalLatitude"":""58.2505600"",""decimalLongitude"":""11.4569400""}","{""locationDisplayLabel"":""Kristineberg"",""interpretedTokens"":[""Kristineberg""]}"
GBIF,uppsala-botany,Kristineberg,58.2505600,11.4569400,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531118"",""catalogNumber"":""A-531118"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Bohuslän"",""county"":""Skaftö"",""locality"":""Kristineberg"",""decimalLatitude"":""58.2505600"",""decimalLongitude"":""11.4569400""}","{""locationDisplayLabel"":""Kristineberg"",""interpretedTokens"":[""Kristineberg""]}"
GBIF,uppsala-botany,Öregrund,60.3436100,18.4491700,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531132"",""catalogNumber"":""A-531132"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Uppland"",""county"":""Öregrund"",""locality"":""Öregrund, hamnen"",""decimalLatitude"":""60.3436100"",""decimalLongitude"":""18.4491700""}","{""locationDisplayLabel"":""Öregrund"",""interpretedTokens"":[""Öregrund""]}"
GBIF,uppsala-botany,Höga,60.4961100,18.7305600,"{""institutionCode"":""UPS"",""collectionCode"":""BOT"",""occurrenceID"":""UPS:BOT:A-531135"",""catalogNumber"":""A-531135"",""continent"":""Europe"",""country"":""Sweden"",""stateProvince"":""Uppland"",""county"":""Gräsö"",""locality"":""Höga [?] Storbådan"",""decimalLatitude"":""60.4961100"",""decimalLongitude"":""18.7305600""}","{""locationDisplayLabel"":""Höga"",""interpretedTokens"":[""Höga""]}"
